City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
76,Atar,MR,66.67,clear sky,20.5169,-13.0499,Oumou Elghoura
77,Lebu,CL,56.5,clear sky,-37.6167,-73.65,Hostal Las Lilas
78,Inhambane,MZ,78.12,clear sky,-23.865,35.3833,Oceano
79,Lac Du Bonnet,CA,24.01,overcast clouds,50.2536,-96.0612,Casey's Inn Motor Hotel
80,Fernie,CA,32.0,overcast clouds,49.5,-115.0687,Fernie Stanford Resort
82,Busselton,AU,80.01,clear sky,-33.65,115.3333,Observatory Guest House
84,Priladozhskiy,RU,25.0,snow,59.85,31.4833,Grand Putilovo Plaza Royal: Resort & SPA
85,Yabrud,SY,46.4,scattered clouds,33.9674,36.6574,صالون مها حيدر - Salon Maha
86,Barra Patuca,HN,75.72,broken clouds,15.8,-84.2833,
87,Ponta Do Sol,PT,59.0,scattered clouds,32.6667,-17.1,Hotel do Campo
88,Marawi,PH,80.01,broken clouds,7.9986,124.2928,Derogongan Residence
89,San Cristobal,VE,65.71,broken clouds,7.7669,-72.225,Pirineos
90,Itambe,BR,68.05,clear sky,-15.245,-40.6244,Pousada San Remo
92,Butaritari,KI,81.23,broken clouds,3.0707,172.7902,Isles Sunset Lodge
93,Thunder Bay,CA,28.4,light snow,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
94,Sabang,ID,80.8,broken clouds,5.8933,95.3214,Hotel Citra
96,Bredasdorp,ZA,64.99,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
97,Khorramshahr,IR,48.2,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
99,Yumbe,UG,70.72,clear sky,3.4651,31.2469,Terrain Hotel
100,Bay City,US,26.6,overcast clouds,43.5945,-83.8889,DoubleTree by Hilton Hotel Bay City - Riverfront
102,Flinders,AU,68.0,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
103,Khash,IR,47.68,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
104,San Policarpo,PH,79.88,overcast clouds,12.1791,125.5072,JM Lodge
105,Ingham,US,26.6,overcast clouds,42.6,-84.3833,Sunset Place
106,Durazno,UY,63.09,overcast clouds,-33.4131,-56.5006,Hotel Santa Cristina
107,Thompson,CA,14.0,light snow,55.7435,-97.8558,Burntwood Hotel
108,Xining,CN,12.63,clear sky,36.6167,101.7667,Super Leisure Hotel
109,Georgetown,MY,81.0,few clouds,5.4112,100.3354,Cititel Penang
110,Arraial Do Cabo,BR,76.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
112,Port Lincoln,AU,66.67,clear sky,-34.7333,135.8667,Port Lincoln Hotel
